
🚀央视,#genre#

CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合,http://111.40.196.9/PLTV/88888888/224/3221225513/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8

CCTV1综合,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV1综合,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1综合,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV1综合,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.65.181/PLTV/88888888/224/3221225816/1.m3u8
CCTV1综合,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.65.183/PLTV/88888888/224/3221225816/1.m3u8
CCTV1综合,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1综合,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8
CCTV1综合,https://iplive-try.wasu.tv/11078.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643171858140-2-0050646e5c7933bdc45871c5d629d453
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV2财经,https://iplive-try.wasu.tv/11079.m3u8?group=600112&servicetype=0&livemode=1&servicegrade=2&servicesp=dangbei&userid=dangbei_user_c4:e1:a1:c2:0e:91&tvid=03019Q9908AB284C41F8E&stbid=0fdf605ceb89598a4b4f3bbea5a9b315&authNum=1643172588992-2-106ed245797cab5bf14790c11954fb7d
CCTV2财经,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8

CCTV2财经,http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV3综艺,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8

CCTV3综艺,http://111.40.196.9/PLTV/88888888/224/3221225588/index.m3u8?$高清
CCTV3综艺,http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.179/PLTV/88888888/224/3221225799/1.m3u8
CCTV3综艺,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.181/PLTV/88888888/224/3221225799/1.m3u8
CCTV3综艺,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3综艺,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/1.m3u8
CCTV4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4国际,http://111.11.123.49:6610/000000001000/5000000005000030093/1.m3u8?Contentid=5000000005000030093&livemode=1&stbId=3&channel-id=bestzb
CCTV4国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4国际,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?
CCTV4国际,http://39.135.138.58:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV4国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8

CCTV5体育,http://cm.wshls.homecdn.com/live/11eec.m3u8
CCTV5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5体育,http://111.29.9.37:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5体育,http://111.29.9.42:6610/000000001000/1000000005000025222/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT2197120221119175523009763&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5体育,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://111.40.196.9/PLTV/88888888/224/3221225550/index.m3u8
CCTV5体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8

CCTV5体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV5体育,http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.179/PLTV/88888888/224/3221225818/1.m3u8
CCTV5体育,http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV5赛事,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8
CCTV5赛事,http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
CCTV5赛事,http://39.134.65.175/PLTV/88888888/224/3221225507/1.m3u8
CCTV5赛事,http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8
CCTV5赛事,http://39.134.65.183/PLTV/88888888/224/3221225507/1.m3u8
CCTV5赛事,http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8
CCTV5赛事,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8

CCTV6电影,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV6电影,http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.175/PLTV/88888888/224/3221225814/1.m3u8
CCTV6电影,http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.181/PLTV/88888888/224/3221225814/1.m3u8
CCTV6电影,http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.65.183/PLTV/88888888/224/3221225814/1.m3u8
CCTV6电影,http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8
CCTV6电影,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8
CCTV7国防,http://39.134.65.179/PLTV/88888888/224/3221225671/index.m3u8?$高清
CCTV7国防,http://39.134.65.164/PLTV/88888888/224/3221225671/1.m3u8
CCTV7国防,http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.65.179/PLTV/88888888/224/3221225671/1.m3u8
CCTV7国防,http://39.134.65.181/PLTV/88888888/224/3221225671/1.m3u8
CCTV7国防,http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8
CCTV7国防,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8

CCTV8剧场,http://111.40.196.9/PLTV/88888888/224/3221225592/index.m3u8
CCTV8剧场,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV8剧场,http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8
CCTV8剧场,http://39.134.65.177/PLTV/88888888/224/3221225795/1.m3u8
CCTV8剧场,http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8
CCTV8剧场,http://39.134.65.181/PLTV/88888888/224/3221225795/1.m3u8
CCTV8剧场,http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8
CCTV8剧场,http://39.134.65.183/PLTV/88888888/224/3221225795/1.m3u8
CCTV8剧场,http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8
CCTV9纪录,http://39.134.65.166/PLTV/88888888/224/3221225676/1.m3u8
CCTV9纪录,http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8
CCTV9纪录,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8
CCTV9纪录,http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8
CCTV9纪录,http://39.134.65.179/PLTV/88888888/224/3221225676/1.m3u8
CCTV9纪录,http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8
CCTV9纪录,http://39.134.65.181/PLTV/88888888/224/3221225676/1.m3u8
CCTV9纪录,http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8
CCTV9纪录,http://39.134.65.183/PLTV/88888888/224/3221225676/1.m3u8
CCTV9纪录,http://39.134.65.183/PLTV/88888888/224/3221225676/index.m3u8
CCTV9纪录,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8
CCTV10科教,http://39.134.65.164/PLTV/88888888/224/3221225677/1.m3u8
CCTV10科教,http://39.134.65.164/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.65.166/PLTV/88888888/224/3221225677/1.m3u8
CCTV10科教,http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.65.179/PLTV/88888888/224/3221225677/1.m3u8
CCTV10科教,http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.65.181/PLTV/88888888/224/3221225677/1.m3u8
CCTV10科教,http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.65.183/PLTV/88888888/224/3221225677/1.m3u8
CCTV10科教,http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8
CCTV10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11戏曲,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8
CCTV11戏曲,http://39.134.65.175/PLTV/88888888/224/3221225517/1.m3u8
CCTV11戏曲,http://39.134.65.179/PLTV/88888888/224/3221225517/1.m3u8
CCTV11戏曲,http://39.134.65.181/PLTV/88888888/224/3221225517/1.m3u8
CCTV11戏曲,http://39.134.65.183/PLTV/88888888/224/3221225517/1.m3u8
CCTV12法治,http://39.134.65.164/PLTV/88888888/224/3221225669/1.m3u8
CCTV12法治,http://39.134.65.164/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法治,http://39.134.65.166/PLTV/88888888/224/3221225669/1.m3u8
CCTV12法治,http://39.134.65.166/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法治,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8
CCTV12法治,http://39.134.65.173/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法治,http://39.134.65.179/PLTV/88888888/224/3221225669/1.m3u8
CCTV12法治,http://39.134.65.179/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法治,http://39.134.65.181/PLTV/88888888/224/3221225669/1.m3u8
CCTV12法治,http://39.134.65.181/PLTV/88888888/224/3221225669/index.m3u8
CCTV12法治,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13新闻,http://cctvwbndbd.a.bdydns.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13新闻,http://112.17.40.218/PLTV/88888888/224/3221231636/index.m3u8
CCTV13新闻,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://39.134.65.183/PLTV/88888888/224/3221225812/1.m3u8
CCTV13新闻,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
